Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,...,_version:1,_order:137,Data class,Data type,Answers
acfbb9f8-8b3c-4f97-b47a-51851b063367,,"Last VL Date , Adherence Failure",Last VL Date,"Last VL Date , Adherence Failure",,,,Misc,Date,
5ad34c7c-3a92-496c-b7d7-2210aca554bd,,"Viral Load Value , Adherence Failure",Value,"Viral Load Value , Adherence Failure",,,,Question,Numeric,
169ccf1f-63ef-4755-b1a9-2315fa8b4dfe,,VL Adherence Failure Information,Adherence Failure Information,Adherence Failure Information,,,,Misc,N/A,
9c7f57c4-cf5b-4d91-8709-066701e8e41c,,Suspected Treatment Failure,Suspected Treatment Failure,Suspected Treatment Failure,,,,Question,Boolean,
b3b195ff-0e6c-420f-bf60-483f24902066,,"Last VL Date, Suspected Treatment Failure",Last VL Date,"Last VL Date, Suspected Treatment Failure",,,,Misc,Date,
7906cef9-4843-40f7-8fee-0e69cb00e7b8,,"Viral Load Value, Suspected Treatment Failure",Value,"Viral Load Value, Suspected Treatment Failure",,,,Question,Numeric,
48e2db35-a1a3-425a-ad08-852d7a2d8acf,,VL Treatment Failure Information,Treatment Failure Information,VL Treatment Failure Information,,,,Misc,N/A,
4f968437-31cf-4cd9-bccf-c594618d12f5,,Clinician Phone,Clinician Phone,Clinician Phone,,,,Question,Numeric,
65dc2979-06b8-49b1-829b-39a8e0edd3ed,,Clinician Information,Clinician Information,Clinician Information,,,,Misc,N/A,
db73e6cd-57e7-4cca-83b7-7d4c532c5621,,VL Focal Person ,VL Focal Person ,VL Focal Person ,,,,Question,Text,
dff0ffef-5c14-458a-a4db-8b106daf3876,,VL  Focal Person Phone,Phone,VL  Focal Person Phone,,,,Question,Numeric,
5508412a-cbcb-41ff-a838-ef2b46f78e2e,,Focal Person Information,Focal Person Information,Focal Person Information,,,,Misc,N/A,
0bfdbae3-ea5d-4173-a4e1-7f42d50e0bc6,,Date Sample Received at Testing Lab,Date Sample Received at Testing Lab,Date Sample Received at Testing Lab,,,,Misc,Date,
4db52045-d459-4c3e-b0b4-b7d00b18ed1e,,Date Results Dispatched,Date Results Dispatched,Date Results Dispatched,,,,Misc,Date,
b853ddc3-3d8c-4b0b-99ac-497624c9904d,,Date Requested ,Date Requested ,Date Requested ,,,,Misc,Date,
dfcedbb1-11fe-4e19-969c-f88539ebc31f,,Email,Email,Email,,,,Question,Text,
1754e917-3956-4032-b7f9-e54edfa1f9d0,,Rejection,Rejection,Rejection,,,,Question,Text,
48ebc193-aa2b-4503-9846-430d226d1d80,,VL Sample Information,Sample Information,VL Sample Information,,,,Misc,N/A,
c189da8e-b689-4b78-809d-72d1fa28ebf4,,Indication For VL Testing Information,Indication For VL Testing Information,Indication For VL Testing Information,,,,Misc,N/A,
bf4d44d6-fe08-4abd-9c25-8c2a548cc873,,Viral Load Lab Request Form,Viral Load Lab Request Form,Viral Load Lab Request Form,,,,Misc,N/A,
